Id,Label,timeset,popularity,followers,genres
3SUT1jjM5hzZj9TLfLZGIP,Tego Calderon,,66,597223,latin;latin hip hop;reggaeton;reggaeton flow;trap latino;tropical
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,,92,5665051,latin;latin hip hop;pop;reggaeton;tropical
6p2442ymrT9lZEuCZJdYcH,Ivy Queen,,60,317020,bachata;latin;latin hip hop;reggaeton;tropical
1pgDilWYDWLoOgGjf1iHNu,Zion,,64,243497,latin;latin hip hop;reggaeton;reggaeton flow;trap latino;tropical
1K0lOPFlbPF3Volp5qIYNw,Jadiel,,53,240108,latin;latin hip hop;reggaeton;reggaeton flow;trap latino;tropical
4Esb8jfP35nF3O85C0jgKC,Gadiel,,59,147421,latin;latin hip hop;reggaeton;reggaeton flow;trap latino;tropical
16Juw2gfa9IxEL3Vu69cH7,Yaga & Mackie,,54,95028,latin;latin hip hop;reggaeton;reggaeton flow;trap latino;tropical
0P4FkbP57uc9XBnJ9aoA3N,Rosendo,,49,77856,cantautor;rock en espanol;spanish new wave;spanish pop;spanish punk
1fQt5j7DTPuAOjdbTYgWav,Platero Y Tu,,50,107668,cantautor;rock en espanol;spanish new wave;spanish pop;spanish punk;spanish rock
5EBH204cwRkvAWknwTAjCQ,Marea,,57,232434,rock en espanol;spanish pop;spanish punk;spanish rock
3bgsNtcf5d5h9jbQbohfBK,Extremoduro,,61,468158,rock en espanol;spanish pop;spanish punk
3hIPQBm8PBt8B5aahP6cVP,Celtas Cortos,,50,85613,cantautor;celtic rock;latin alternative;rock en espanol;spanish new wave;spanish pop;spanish punk;spanish rock
1Z3i5hUtelWqBwEA1RoWhL,Los Suaves,,45,60222,latin metal;rock en espanol;spanish new wave;spanish punk
1kcjyRBcnuC94JVRshXjI6,Albertucho,,42,32496,cantautor;spanish punk;spanish rock
5qi25oEuARj6wUbqiMSj0w,Extrechinato y Tu,,38,26495,spanish punk
2QpheRCwD4ia7VyAE4Lj2r,Fito,,10,1279,
4fi2id2V1djZTVkPBLwaUz,Poncho K,,45,26111,cantautor;spanish punk;spanish rock
4WeIMVqCUH09dxtBsstIw3,La Frontera,,37,18397,spanish new wave;spanish pop
